,time,daily_interest,asset
0,2024-12-24,11.07,USDC
1,2024-12-25,10.87,USDC
2,2024-12-26,11.82,USDC
3,2024-12-27,11.58,USDC
4,2024-12-28,11.46,USDC
5,2024-12-29,10.44,USDC
6,2024-12-30,13.04,USDC
7,2024-12-31,11.06,USDC
8,2025-01-01,10.86,USDC
9,2025-01-02,11.81,USDC
10,2025-01-03,11.28,USDC
11,2025-01-04,10.38,USDC
12,2025-01-05,9.89,USDC
13,2025-01-06,10.65,USDC
14,2025-01-07,10.86,USDC
15,2025-01-08,10.78,USDC
16,2025-01-09,10.14,USDC
17,2025-01-10,10.24,USDC
18,2025-01-11,10.59,USDC
19,2025-01-12,9.86,USDC
20,2025-01-13,10.17,USDC
21,2025-01-14,9.68,USDC
22,2025-01-15,10.63,USDC
23,2025-01-16,9.82,USDC
24,2025-01-17,9.58,USDC
25,2025-01-18,10.08,USDC
26,2025-01-19,10.71,USDC
27,2025-01-20,10.41,USDC
28,2025-01-21,10.26,USDC
29,2025-01-22,9.97,USDC
30,2025-01-23,9.17,USDC
31,2024-12-24,9.23,USDT
32,2024-12-25,9.6,USDT
33,2024-12-26,9.91,USDT
34,2024-12-27,10.0,USDT
35,2024-12-28,9.9,USDT
36,2024-12-29,8.43,USDT
37,2024-12-30,9.35,USDT
38,2024-12-31,10.53,USDT
39,2025-01-01,8.79,USDT
40,2025-01-02,8.6,USDT
41,2025-01-03,9.05,USDT
42,2025-01-04,9.21,USDT
43,2025-01-05,8.49,USDT
44,2025-01-06,9.56,USDT
45,2025-01-07,11.56,USDT
46,2025-01-08,11.31,USDT
47,2025-01-09,10.08,USDT
48,2025-01-10,8.71,USDT
49,2025-01-11,9.25,USDT
50,2025-01-12,8.98,USDT
51,2025-01-13,9.37,USDT
52,2025-01-14,9.11,USDT
53,2025-01-15,8.59,USDT
54,2025-01-16,8.55,USDT
55,2025-01-17,9.1,USDT
56,2025-01-18,8.54,USDT
57,2025-01-19,8.46,USDT
58,2025-01-20,8.87,USDT
59,2025-01-21,9.06,USDT
60,2025-01-22,9.14,USDT
61,2025-01-23,9.01,USDT
