,asset,date,daily_interest
0,USDT,2024-08-26,5.904604999999999
1,USDT,2024-08-26,5.904604999999999
2,USDT,2024-08-25,5.843285
3,USDT,2024-08-25,5.843285
4,USDT,2024-08-24,5.843285
5,USDT,2024-08-24,5.843285
6,USDT,2024-08-24,5.90862
7,USDT,2024-08-24,5.90862
8,USDT,2024-08-23,5.846934999999999
9,USDT,2024-08-23,6.056445
10,USDT,2024-08-23,5.973955
11,USDT,2024-08-23,5.88088
12,USDT,2024-08-22,5.88088
13,USDT,2024-08-22,5.88088
14,USDT,2024-08-22,5.815180000000001
15,USDT,2024-08-22,5.9714
16,USDT,2024-08-22,5.90132
17,USDT,2024-08-22,5.90132
18,USDT,2024-08-21,5.977239999999999
19,USDT,2024-08-21,6.0790750000000005
20,USDT,2024-08-21,6.163755
21,USDT,2024-08-20,6.163755
22,USDT,2024-08-20,6.163755
23,USDT,2024-08-20,6.075060000000001
24,USDT,2024-08-20,5.99038
25,USDT,2024-08-20,6.07798
26,USDT,2024-08-20,6.07798
27,USDT,2024-08-20,6.147329999999999
28,USDT,2024-08-19,6.08601
29,USDT,2024-08-19,6.023960000000001
30,USDT,2024-08-19,6.203905
31,USDT,2024-08-19,6.203905
32,USDT,2024-08-18,6.203905
33,USDT,2024-08-18,6.2714300000000005
34,USDT,2024-08-18,6.2714300000000005
35,USDT,2024-08-17,6.2714300000000005
36,USDT,2024-08-17,6.2714300000000005
37,USDT,2024-08-17,6.2714300000000005
38,USDT,2024-08-17,6.2714300000000005
39,USDT,2024-08-16,6.19259
40,USDT,2024-08-16,6.261939999999999
41,USDT,2024-08-16,6.34078
42,USDT,2024-08-16,6.34078
43,USDT,2024-08-16,6.438235000000001
44,USDT,2024-08-15,6.50795
45,USDT,2024-08-15,6.422540000000001
46,USDT,2024-08-15,6.507585000000001
47,USDT,2024-08-15,6.601025000000001
48,USDT,2024-08-14,6.601025000000001
49,USDT,2024-08-14,6.601025000000001
50,USDT,2024-08-14,6.488969999999999
51,USDT,2024-08-14,6.488969999999999
52,USDT,2024-08-13,6.488969999999999
53,USDT,2024-08-13,6.488969999999999
54,USDT,2024-08-13,6.488969999999999
55,USDT,2024-08-12,6.488969999999999
56,USDT,2024-08-12,6.41816
57,USDT,2024-08-12,6.35246
58,USDT,2024-08-12,6.35246
59,USDT,2024-08-11,6.28311
60,USDT,2024-08-11,6.28311
61,USDT,2024-08-11,6.28311
62,USDT,2024-08-10,6.28311
63,USDT,2024-08-10,6.28311
64,USDT,2024-08-10,6.377645
65,USDT,2024-08-10,6.377645
66,USDT,2024-08-09,6.444075000000001
67,USDT,2024-08-09,6.516710000000001
68,USDT,2024-08-09,6.434584999999999
69,USDT,2024-08-09,6.434584999999999
70,USDT,2024-08-08,6.509774999999999
71,USDT,2024-08-08,6.368884999999999
72,USDT,2024-08-08,6.368884999999999
73,USDT,2024-08-08,6.441519999999999
74,USDT,2024-08-07,6.55102
75,USDT,2024-08-07,6.617815
76,USDT,2024-08-07,6.7871749999999995
77,USDT,2024-08-07,6.7871749999999995
78,USDT,2024-08-07,6.882075
79,USDT,2024-08-07,7.028440000000001
80,USDT,2024-08-06,7.099615000000001
81,USDT,2024-08-06,7.099615000000001
82,USDT,2024-08-06,7.1883099999999995
83,USDT,2024-08-06,7.27372
84,USDT,2024-08-06,7.402200000000001
85,USDT,2024-08-06,7.51097
86,USDT,2024-08-06,7.62631
87,USDT,2024-08-05,7.717924999999999
88,USDT,2024-08-05,7.93145
89,USDT,2024-08-05,8.082195
90,USDT,2024-08-05,8.213230000000001
91,USDT,2024-08-05,8.35996
92,USDT,2024-08-05,8.473840000000001
93,USDT,2024-08-05,8.73883
94,USDT,2024-08-05,8.569105
95,USDT,2024-08-05,8.569105
96,USDT,2024-08-05,8.67167
97,USDT,2024-08-05,8.823509999999999
98,USDT,2024-08-04,8.693204999999999
99,USDT,2024-08-04,8.782265
100,USDT,2024-08-04,8.87242
101,USDT,2024-08-04,8.87242
102,USDT,2024-08-04,8.99141
103,USDT,2024-08-03,9.118065
104,USDT,2024-08-03,9.225739999999998
105,USDT,2024-08-03,9.342540000000001
106,USDT,2024-08-03,9.342540000000001
107,USDT,2024-08-03,9.453865
108,USDT,2024-08-02,9.356775
109,USDT,2024-08-02,9.211870000000001
110,USDT,2024-08-02,9.088135
111,USDT,2024-08-02,8.99652
112,USDT,2024-08-02,9.150915000000001
113,USDT,2024-08-02,9.150915000000001
114,USDT,2024-08-01,9.023894999999998
115,USDT,2024-08-01,9.023894999999998
116,USDT,2024-08-01,9.023894999999998
117,USDT,2024-07-31,9.023894999999998
118,USDT,2024-07-31,8.926075
119,USDT,2024-07-31,9.32721
120,USDT,2024-07-30,9.32721
121,USDT,2024-07-30,9.32721
122,USDT,2024-07-30,9.193985
123,USDT,2024-07-30,9.304215000000001
124,USDT,2024-07-30,9.304215000000001
125,USDT,2024-07-29,9.41627
126,USDT,2024-07-29,9.276475000000001
127,USDT,2024-07-29,9.175735
128,USDT,2024-07-29,9.03667
129,USDT,2024-07-29,8.894684999999999
130,USDT,2024-07-29,8.79431
131,USDT,2024-07-29,8.691745
132,USDT,2024-07-29,8.691745
133,USDT,2024-07-28,8.60159
134,USDT,2024-07-28,8.60159
135,USDT,2024-07-28,8.707804999999999
136,USDT,2024-07-28,8.707804999999999
137,USDT,2024-07-27,8.615095
138,USDT,2024-07-27,8.488805000000001
0,USDC,2024-08-26,7.234299999999999
1,USDC,2024-08-25,7.234299999999999
2,USDC,2024-08-25,7.234299999999999
3,USDC,2024-08-25,7.156555000000001
4,USDC,2024-08-25,7.235030000000001
5,USDC,2024-08-25,7.235030000000001
6,USDC,2024-08-24,7.1569199999999995
7,USDC,2024-08-24,7.241235
8,USDC,2024-08-24,7.340879999999999
9,USDC,2024-08-23,7.459505
10,USDC,2024-08-23,7.459505
11,USDC,2024-08-23,7.346355
12,USDC,2024-08-23,7.42921
13,USDC,2024-08-23,7.42921
14,USDC,2024-08-22,7.346355
15,USDC,2024-08-22,7.428845000000001
16,USDC,2024-08-22,7.340879999999999
17,USDC,2024-08-22,7.676315000000001
18,USDC,2024-08-21,7.759535
19,USDC,2024-08-21,7.759535
20,USDC,2024-08-21,7.759535
21,USDC,2024-08-21,7.759535
22,USDC,2024-08-20,7.674125
23,USDC,2024-08-20,7.58981
24,USDC,2024-08-20,7.6719349999999995
25,USDC,2024-08-19,7.6719349999999995
26,USDC,2024-08-19,7.6719349999999995
27,USDC,2024-08-19,7.6719349999999995
28,USDC,2024-08-18,7.6719349999999995
29,USDC,2024-08-18,7.6719349999999995
30,USDC,2024-08-18,7.6719349999999995
31,USDC,2024-08-18,7.6719349999999995
32,USDC,2024-08-17,7.764279999999999
33,USDC,2024-08-17,7.677045000000001
34,USDC,2024-08-17,7.677045000000001
35,USDC,2024-08-17,7.677045000000001
36,USDC,2024-08-16,7.793844999999999
37,USDC,2024-08-16,7.793844999999999
38,USDC,2024-08-16,7.95554
39,USDC,2024-08-16,8.082195
40,USDC,2024-08-16,8.37091
41,USDC,2024-08-16,8.37091
42,USDC,2024-08-16,8.844315
43,USDC,2024-08-16,8.986665
44,USDC,2024-08-15,8.880450000000002
45,USDC,2024-08-15,8.72934
46,USDC,2024-08-15,8.883735000000001
47,USDC,2024-08-15,8.750145000000002
48,USDC,2024-08-15,8.97535
49,USDC,2024-08-15,8.848695
50,USDC,2024-08-15,8.731165
51,USDC,2024-08-15,8.540635
52,USDC,2024-08-15,8.30667
53,USDC,2024-08-15,7.942035
54,USDC,2024-08-15,7.838740000000001
55,USDC,2024-08-15,7.99715
56,USDC,2024-08-15,7.8427549999999995
57,USDC,2024-08-15,8.001165
58,USDC,2024-08-15,7.833995000000001
59,USDC,2024-08-14,7.95627
60,USDC,2024-08-14,8.228195
61,USDC,2024-08-14,7.774865
62,USDC,2024-08-14,7.66281
63,USDC,2024-08-14,7.66281
64,USDC,2024-08-13,7.745300000000001
65,USDC,2024-08-13,7.652225
66,USDC,2024-08-13,7.652225
67,USDC,2024-08-13,7.7314300000000005
68,USDC,2024-08-12,7.644925
69,USDC,2024-08-12,7.644925
70,USDC,2024-08-12,7.76282
71,USDC,2024-08-11,7.76282
72,USDC,2024-08-11,7.76282
73,USDC,2024-08-11,7.679234999999999
74,USDC,2024-08-11,7.594919999999999
75,USDC,2024-08-11,7.687995
76,USDC,2024-08-11,7.602585
77,USDC,2024-08-11,7.689454999999999
78,USDC,2024-08-11,7.577765
79,USDC,2024-08-10,7.577765
80,USDC,2024-08-10,7.577765
81,USDC,2024-08-09,7.577765
82,USDC,2024-08-09,7.577765
83,USDC,2024-08-09,7.66062
84,USDC,2024-08-09,7.48177
85,USDC,2024-08-09,7.566815
86,USDC,2024-08-09,7.658065
87,USDC,2024-08-09,8.02343
88,USDC,2024-08-09,7.688359999999999
89,USDC,2024-08-09,7.8073500000000005
90,USDC,2024-08-08,7.710625
91,USDC,2024-08-08,7.606235
92,USDC,2024-08-08,7.694565000000001
93,USDC,2024-08-08,7.694565000000001
94,USDC,2024-08-08,7.694565000000001
95,USDC,2024-08-07,7.779610000000001
96,USDC,2024-08-07,7.682519999999999
97,USDC,2024-08-07,7.682519999999999
98,USDC,2024-08-07,7.682519999999999
99,USDC,2024-08-07,7.784719999999999
100,USDC,2024-08-06,7.7000399999999996
101,USDC,2024-08-06,7.6208350000000005
102,USDC,2024-08-06,7.6208350000000005
103,USDC,2024-08-05,7.736175000000001
104,USDC,2024-08-05,7.62631
105,USDC,2024-08-05,7.80151
106,USDC,2024-08-05,8.266155
107,USDC,2024-08-05,7.855895
108,USDC,2024-08-05,7.72632
109,USDC,2024-08-05,7.837645
110,USDC,2024-08-05,8.461065
111,USDC,2024-08-05,10.950365000000001
112,USDC,2024-08-05,10.113785
113,USDC,2024-08-05,10.249564999999999
114,USDC,2024-08-05,10.249564999999999
115,USDC,2024-08-05,10.460899999999999
116,USDC,2024-08-05,10.996355000000001
117,USDC,2024-08-05,11.308065
118,USDC,2024-08-05,10.169265
119,USDC,2024-08-05,10.650699999999999
120,USDC,2024-08-04,10.52806
121,USDC,2024-08-04,10.379869999999999
122,USDC,2024-08-04,10.264529999999999
123,USDC,2024-08-04,9.684545
124,USDC,2024-08-04,10.36308
125,USDC,2024-08-04,10.718955
126,USDC,2024-08-04,10.510175
