,time,daily_interest,asset
0,2024-12-24,11.5,USDC
1,2024-12-25,14.0,USDC
2,2024-12-26,14.2,USDC
3,2024-12-27,13.6,USDC
4,2024-12-28,14.1,USDC
5,2024-12-29,14.1,USDC
6,2024-12-30,15.2,USDC
7,2024-12-31,13.8,USDC
8,2025-01-01,14.4,USDC
9,2025-01-02,12.9,USDC
10,2025-01-03,13.1,USDC
11,2025-01-04,13.4,USDC
12,2025-01-05,13.4,USDC
13,2025-01-06,12.5,USDC
14,2025-01-07,11.4,USDC
15,2025-01-08,12.0,USDC
16,2025-01-09,12.2,USDC
17,2025-01-10,10.8,USDC
18,2025-01-11,9.5,USDC
19,2025-01-12,10.1,USDC
20,2025-01-13,9.7,USDC
21,2025-01-14,11.0,USDC
22,2025-01-15,10.4,USDC
23,2025-01-16,9.5,USDC
24,2025-01-17,9.1,USDC
25,2025-01-18,13.2,USDC
26,2025-01-19,12.1,USDC
27,2025-01-20,11.7,USDC
28,2025-01-21,10.3,USDC
29,2025-01-22,8.9,USDC
30,2025-01-23,6.8,USDC
31,2024-12-24,12.8,USDT
32,2024-12-25,14.9,USDT
33,2024-12-26,13.4,USDT
34,2024-12-27,16.3,USDT
35,2024-12-28,15.6,USDT
36,2024-12-29,14.5,USDT
37,2024-12-30,15.8,USDT
38,2024-12-31,16.4,USDT
39,2025-01-01,15.9,USDT
40,2025-01-02,15.4,USDT
41,2025-01-03,14.2,USDT
42,2025-01-04,15.3,USDT
43,2025-01-05,14.6,USDT
44,2025-01-06,15.7,USDT
45,2025-01-07,13.6,USDT
46,2025-01-08,14.4,USDT
47,2025-01-09,14.1,USDT
48,2025-01-10,13.4,USDT
49,2025-01-11,11.2,USDT
50,2025-01-12,10.7,USDT
51,2025-01-13,12.6,USDT
52,2025-01-14,12.3,USDT
53,2025-01-15,13.5,USDT
54,2025-01-16,11.0,USDT
55,2025-01-17,14.2,USDT
56,2025-01-18,12.0,USDT
57,2025-01-19,11.5,USDT
58,2025-01-20,9.9,USDT
59,2025-01-21,13.0,USDT
60,2025-01-22,10.9,USDT
61,2025-01-23,8.2,USDT
